A/A,Result,Area
1,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
2,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
3,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
4,Α,ΑΡΓΥΡΟΥΠΟΛΗ
5,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
6,Α,ΑΡΓΥΡΟΥΠΟΛΗ
7,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
8,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
9,Α,ΑΡΓΥΡΟΥΠΟΛΗ
10,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
11,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
12,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
13,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
14,Α,ΑΡΓΥΡΟΥΠΟΛΗ
15,Α,ΑΡΓΥΡΟΥΠΟΛΗ
16,Α,ΑΡΓΥΡΟΥΠΟΛΗ
17,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
18,Α,ΑΡΓΥΡΟΥΠΟΛΗ
19,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
20,Α,ΑΡΓΥΡΟΥΠΟΛΗ
21,Α,ΑΡΓΥΡΟΥΠΟΛΗ
22,Α,ΑΡΓΥΡΟΥΠΟΛΗ
23,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
24,Α,ΑΡΓΥΡΟΥΠΟΛΗ
25,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
26,Α,ΑΡΓΥΡΟΥΠΟΛΗ
27,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
28,Α,ΑΡΓΥΡΟΥΠΟΛΗ
29,Α,ΑΡΓΥΡΟΥΠΟΛΗ
30,Α,ΑΡΓΥΡΟΥΠΟΛΗ
31,Θ,ΑΡΓΥΡΟΥΠΟΛΗ
32,Α,ΑΡΓΥΡΟΥΠΟΛΗ
33,Α,ΑΡΓΥΡΟΥΠΟΛΗ
