A/A,Result,Area
1,Θ,ΑΘΗΝΑ
2,Α,ΑΘΗΝΑ
3,Α,ΑΘΗΝΑ
4,Θ,ΑΘΗΝΑ
5,Θ,ΑΘΗΝΑ
6,Θ,ΑΘΗΝΑ
7,Α,ΑΘΗΝΑ
8,Α,ΑΘΗΝΑ
9,Α,ΑΘΗΝΑ
10,Θ,ΑΘΗΝΑ
11,Θ,ΑΘΗΝΑ
12,Θ,ΑΘΗΝΑ
13,Α,ΑΘΗΝΑ
14,Θ,ΑΘΗΝΑ
15,Α,ΑΘΗΝΑ
16,Θ,ΑΘΗΝΑ
17,Α,ΑΘΗΝΑ
18,Θ,ΑΘΗΝΑ
19,Θ,ΑΘΗΝΑ
20,Θ,ΑΘΗΝΑ
21,Α,ΑΘΗΝΑ
22,Θ,ΑΘΗΝΑ
23,Α,ΑΘΗΝΑ
24,Θ,ΑΘΗΝΑ
25,Α,ΑΘΗΝΑ
26,Θ,ΑΘΗΝΑ
27,Α,ΑΘΗΝΑ
28,Α,ΑΘΗΝΑ
29,Α,ΑΘΗΝΑ
30,Θ,ΑΘΗΝΑ
31,Α,ΑΘΗΝΑ
32,Α,ΑΘΗΝΑ
33,Α,ΑΘΗΝΑ
34,Θ,ΑΘΗΝΑ
35,Α,ΑΘΗΝΑ
36,Θ,ΑΘΗΝΑ
37,Θ,ΑΘΗΝΑ
38,Α,ΑΘΗΝΑ
39,Α,ΑΘΗΝΑ
40,Α,ΑΘΗΝΑ
41,Θ,ΑΘΗΝΑ
42,Α,ΑΘΗΝΑ
43,Θ,ΑΘΗΝΑ
44,Θ,ΑΘΗΝΑ
45,Θ,ΑΘΗΝΑ
46,Θ,ΑΘΗΝΑ
47,Θ,ΑΘΗΝΑ
48,Α,ΑΘΗΝΑ
49,Α,ΑΘΗΝΑ
50,Θ,ΑΘΗΝΑ
51,Α,ΑΘΗΝΑ
52,Θ,ΑΘΗΝΑ
53,Α,ΑΘΗΝΑ
54,Α,ΑΘΗΝΑ
55,Θ,ΑΘΗΝΑ
56,Θ,ΑΘΗΝΑ
57,Α,ΑΘΗΝΑ
58,Α,ΑΘΗΝΑ
59,Α,ΑΘΗΝΑ
60,Θ,ΑΘΗΝΑ
61,Α,ΑΘΗΝΑ
62,Α,ΑΘΗΝΑ
63,Α,ΑΘΗΝΑ
64,Θ,ΑΘΗΝΑ
65,Α,ΑΘΗΝΑ
66,Θ,ΑΘΗΝΑ
67,Θ,ΑΘΗΝΑ
68,Θ,ΑΘΗΝΑ
69,Θ,ΑΘΗΝΑ
70,Θ,ΑΘΗΝΑ
71,Α,ΑΘΗΝΑ
72,Α,ΑΘΗΝΑ
73,Θ,ΑΘΗΝΑ
74,Θ,ΑΘΗΝΑ
75,Α,ΑΘΗΝΑ
76,Θ,ΑΘΗΝΑ
77,Α,ΑΘΗΝΑ
78,Θ,ΑΘΗΝΑ
79,Θ,ΑΘΗΝΑ
80,Α,ΑΘΗΝΑ
81,Θ,ΑΘΗΝΑ
82,Θ,ΑΘΗΝΑ
83,Α,ΑΘΗΝΑ
84,Θ,ΑΘΗΝΑ
85,Θ,ΑΘΗΝΑ
86,Θ,ΑΘΗΝΑ
87,Θ,ΑΘΗΝΑ
88,Α,ΑΘΗΝΑ
89,Θ,ΑΘΗΝΑ
90,Α,ΑΘΗΝΑ
91,Θ,ΑΘΗΝΑ
92,Θ,ΑΘΗΝΑ
93,Α,ΑΘΗΝΑ
94,Α,ΑΘΗΝΑ
95,Α,ΑΘΗΝΑ
96,Θ,ΑΘΗΝΑ
97,Α,ΑΘΗΝΑ
98,Α,ΑΘΗΝΑ
99,Α,ΑΘΗΝΑ
100,Α,ΑΘΗΝΑ
