A/A,Result,Area
1,Α,ΚΗΦΙΣΙΑ
2,Α,ΚΗΦΙΣΙΑ
3,Α,ΚΗΦΙΣΙΑ
4,Θ,ΚΗΦΙΣΙΑ
5,Θ,ΚΗΦΙΣΙΑ
6,Α,ΚΗΦΙΣΙΑ
7,Θ,ΚΗΦΙΣΙΑ
8,Θ,ΚΗΦΙΣΙΑ
9,Θ,ΚΗΦΙΣΙΑ
10,Α,ΚΗΦΙΣΙΑ
11,Θ,ΚΗΦΙΣΙΑ
12,Α,ΚΗΦΙΣΙΑ
13,Α,ΚΗΦΙΣΙΑ
14,Α,ΚΗΦΙΣΙΑ
15,Θ,ΚΗΦΙΣΙΑ
16,Θ,ΚΗΦΙΣΙΑ
17,Θ,ΚΗΦΙΣΙΑ
18,Α,ΚΗΦΙΣΙΑ
19,Θ,ΚΗΦΙΣΙΑ
20,Θ,ΚΗΦΙΣΙΑ
21,Θ,ΚΗΦΙΣΙΑ
22,Α,ΚΗΦΙΣΙΑ
23,Θ,ΚΗΦΙΣΙΑ
24,Α,ΚΗΦΙΣΙΑ
25,Α,ΚΗΦΙΣΙΑ
26,Θ,ΚΗΦΙΣΙΑ
27,Θ,ΚΗΦΙΣΙΑ
28,Θ,ΚΗΦΙΣΙΑ
29,Α,ΚΗΦΙΣΙΑ
30,Θ,ΚΗΦΙΣΙΑ
31,Α,ΚΗΦΙΣΙΑ
32,Θ,ΚΗΦΙΣΙΑ
33,Α,ΚΗΦΙΣΙΑ
34,Θ,ΚΗΦΙΣΙΑ
35,Α,ΚΗΦΙΣΙΑ
36,Θ,ΚΗΦΙΣΙΑ
37,Θ,ΚΗΦΙΣΙΑ
38,Α,ΚΗΦΙΣΙΑ
39,Θ,ΚΗΦΙΣΙΑ
40,Θ,ΚΗΦΙΣΙΑ
41,Θ,ΚΗΦΙΣΙΑ
42,Α,ΚΗΦΙΣΙΑ
43,Θ,ΚΗΦΙΣΙΑ
44,Θ,ΚΗΦΙΣΙΑ
45,Θ,ΚΗΦΙΣΙΑ
46,Θ,ΚΗΦΙΣΙΑ
47,Α,ΚΗΦΙΣΙΑ
48,Α,ΚΗΦΙΣΙΑ
49,Α,ΚΗΦΙΣΙΑ
50,Θ,ΚΗΦΙΣΙΑ
51,Α,ΚΗΦΙΣΙΑ
52,Α,ΚΗΦΙΣΙΑ
53,Θ,ΚΗΦΙΣΙΑ
54,Α,ΚΗΦΙΣΙΑ
55,Θ,ΚΗΦΙΣΙΑ
56,Θ,ΚΗΦΙΣΙΑ
57,Θ,ΚΗΦΙΣΙΑ
58,Α,ΚΗΦΙΣΙΑ
59,Α,ΚΗΦΙΣΙΑ
60,Α,ΚΗΦΙΣΙΑ
61,Α,ΚΗΦΙΣΙΑ
62,Α,ΚΗΦΙΣΙΑ
63,Α,ΚΗΦΙΣΙΑ
64,Α,ΚΗΦΙΣΙΑ
65,Θ,ΚΗΦΙΣΙΑ
66,Α,ΚΗΦΙΣΙΑ
67,Θ,ΚΗΦΙΣΙΑ
68,Θ,ΚΗΦΙΣΙΑ
69,Θ,ΚΗΦΙΣΙΑ
70,Α,ΚΗΦΙΣΙΑ
71,Α,ΚΗΦΙΣΙΑ
72,Α,ΚΗΦΙΣΙΑ
73,Α,ΚΗΦΙΣΙΑ
74,Θ,ΚΗΦΙΣΙΑ
75,Θ,ΚΗΦΙΣΙΑ
76,Θ,ΚΗΦΙΣΙΑ
77,Α,ΚΗΦΙΣΙΑ
78,Α,ΚΗΦΙΣΙΑ
79,Α,ΚΗΦΙΣΙΑ
80,Α,ΚΗΦΙΣΙΑ
81,Θ,ΚΗΦΙΣΙΑ
82,Θ,ΚΗΦΙΣΙΑ
83,Α,ΚΗΦΙΣΙΑ
84,Α,ΚΗΦΙΣΙΑ
85,Θ,ΚΗΦΙΣΙΑ
86,Θ,ΚΗΦΙΣΙΑ
87,Θ,ΚΗΦΙΣΙΑ
88,Α,ΚΗΦΙΣΙΑ
89,Α,ΚΗΦΙΣΙΑ
90,Α,ΚΗΦΙΣΙΑ
91,Θ,ΚΗΦΙΣΙΑ
92,Α,ΚΗΦΙΣΙΑ
93,Θ,ΚΗΦΙΣΙΑ
94,Θ,ΚΗΦΙΣΙΑ
95,Α,ΚΗΦΙΣΙΑ
96,Θ,ΚΗΦΙΣΙΑ
97,Α,ΚΗΦΙΣΙΑ
98,Θ,ΚΗΦΙΣΙΑ
99,Θ,ΚΗΦΙΣΙΑ
100,Α,ΚΗΦΙΣΙΑ
