A/A,Result,Area
1,Θ,ΜΑΝΤΡΑ
2,Θ,ΜΑΝΤΡΑ
3,Θ,ΜΑΝΤΡΑ
4,Α,ΜΑΝΤΡΑ
5,Θ,ΜΑΝΤΡΑ
6,Α,ΜΑΝΤΡΑ
7,Α,ΜΑΝΤΡΑ
8,Α,ΜΑΝΤΡΑ
9,Α,ΜΑΝΤΡΑ
10,Θ,ΜΑΝΤΡΑ
11,Α,ΜΑΝΤΡΑ
12,Α,ΜΑΝΤΡΑ
13,Α,ΜΑΝΤΡΑ
14,Θ,ΜΑΝΤΡΑ
15,Θ,ΜΑΝΤΡΑ
16,Α,ΜΑΝΤΡΑ
17,Α,ΜΑΝΤΡΑ
18,Θ,ΜΑΝΤΡΑ
19,Θ,ΜΑΝΤΡΑ
20,Θ,ΜΑΝΤΡΑ
21,Α,ΜΑΝΤΡΑ
22,Θ,ΜΑΝΤΡΑ
23,Θ,ΜΑΝΤΡΑ
24,Α,ΜΑΝΤΡΑ
25,Θ,ΜΑΝΤΡΑ
26,Α,ΜΑΝΤΡΑ
27,Θ,ΜΑΝΤΡΑ
28,Α,ΜΑΝΤΡΑ
29,Α,ΜΑΝΤΡΑ
30,Θ,ΜΑΝΤΡΑ
31,Θ,ΜΑΝΤΡΑ
32,Θ,ΜΑΝΤΡΑ
33,Θ,ΜΑΝΤΡΑ
34,Α,ΜΑΝΤΡΑ
35,Θ,ΜΑΝΤΡΑ
36,Θ,ΜΑΝΤΡΑ
37,Θ,ΜΑΝΤΡΑ
38,Θ,ΜΑΝΤΡΑ
39,Α,ΜΑΝΤΡΑ
40,Α,ΜΑΝΤΡΑ
41,Θ,ΜΑΝΤΡΑ
42,Θ,ΜΑΝΤΡΑ
43,Α,ΜΑΝΤΡΑ
44,Α,ΜΑΝΤΡΑ
45,Θ,ΜΑΝΤΡΑ
46,Θ,ΜΑΝΤΡΑ
47,Θ,ΜΑΝΤΡΑ
48,Θ,ΜΑΝΤΡΑ
49,Α,ΜΑΝΤΡΑ
50,Α,ΜΑΝΤΡΑ
51,Θ,ΜΑΝΤΡΑ
52,Α,ΜΑΝΤΡΑ
53,Α,ΜΑΝΤΡΑ
54,Α,ΜΑΝΤΡΑ
55,Α,ΜΑΝΤΡΑ
56,Α,ΜΑΝΤΡΑ
57,Α,ΜΑΝΤΡΑ
58,Α,ΜΑΝΤΡΑ
59,Θ,ΜΑΝΤΡΑ
60,Θ,ΜΑΝΤΡΑ
61,Θ,ΜΑΝΤΡΑ
62,Α,ΜΑΝΤΡΑ
63,Α,ΜΑΝΤΡΑ
64,Α,ΜΑΝΤΡΑ
65,Α,ΜΑΝΤΡΑ
66,Α,ΜΑΝΤΡΑ
67,Α,ΜΑΝΤΡΑ
68,Θ,ΜΑΝΤΡΑ
69,Θ,ΜΑΝΤΡΑ
70,Α,ΜΑΝΤΡΑ
71,Α,ΜΑΝΤΡΑ
72,Α,ΜΑΝΤΡΑ
73,Θ,ΜΑΝΤΡΑ
74,Α,ΜΑΝΤΡΑ
75,Α,ΜΑΝΤΡΑ
76,Θ,ΜΑΝΤΡΑ
77,Θ,ΜΑΝΤΡΑ
78,Α,ΜΑΝΤΡΑ
79,Θ,ΜΑΝΤΡΑ
80,Θ,ΜΑΝΤΡΑ
81,Α,ΜΑΝΤΡΑ
82,Θ,ΜΑΝΤΡΑ
83,Θ,ΜΑΝΤΡΑ
84,Α,ΜΑΝΤΡΑ
85,Θ,ΜΑΝΤΡΑ
86,Α,ΜΑΝΤΡΑ
87,Θ,ΜΑΝΤΡΑ
88,Θ,ΜΑΝΤΡΑ
89,Θ,ΜΑΝΤΡΑ
90,Θ,ΜΑΝΤΡΑ
91,Α,ΜΑΝΤΡΑ
92,Θ,ΜΑΝΤΡΑ
93,Α,ΜΑΝΤΡΑ
94,Α,ΜΑΝΤΡΑ
95,Α,ΜΑΝΤΡΑ
96,Α,ΜΑΝΤΡΑ
97,Α,ΜΑΝΤΡΑ
98,Α,ΜΑΝΤΡΑ
99,Θ,ΜΑΝΤΡΑ
100,Α,ΜΑΝΤΡΑ
