A/A,Result,Area
1,Α,ΠΕΝΤΕΛΗ
2,Α,ΠΕΝΤΕΛΗ
3,Θ,ΠΕΝΤΕΛΗ
4,Θ,ΠΕΝΤΕΛΗ
5,Α,ΠΕΝΤΕΛΗ
6,Α,ΠΕΝΤΕΛΗ
7,Θ,ΠΕΝΤΕΛΗ
8,Θ,ΠΕΝΤΕΛΗ
9,Θ,ΠΕΝΤΕΛΗ
10,Α,ΠΕΝΤΕΛΗ
11,Θ,ΠΕΝΤΕΛΗ
12,Θ,ΠΕΝΤΕΛΗ
13,Α,ΠΕΝΤΕΛΗ
14,Θ,ΠΕΝΤΕΛΗ
15,Θ,ΠΕΝΤΕΛΗ
16,Α,ΠΕΝΤΕΛΗ
17,Θ,ΠΕΝΤΕΛΗ
18,Θ,ΠΕΝΤΕΛΗ
19,Θ,ΠΕΝΤΕΛΗ
20,Θ,ΠΕΝΤΕΛΗ
21,Θ,ΠΕΝΤΕΛΗ
22,Θ,ΠΕΝΤΕΛΗ
23,Α,ΠΕΝΤΕΛΗ
24,Θ,ΠΕΝΤΕΛΗ
25,Α,ΠΕΝΤΕΛΗ
26,Θ,ΠΕΝΤΕΛΗ
27,Α,ΠΕΝΤΕΛΗ
28,Α,ΠΕΝΤΕΛΗ
29,Θ,ΠΕΝΤΕΛΗ
30,Θ,ΠΕΝΤΕΛΗ
31,Α,ΠΕΝΤΕΛΗ
32,Α,ΠΕΝΤΕΛΗ
33,Θ,ΠΕΝΤΕΛΗ
34,Θ,ΠΕΝΤΕΛΗ
35,Α,ΠΕΝΤΕΛΗ
36,Α,ΠΕΝΤΕΛΗ
37,Α,ΠΕΝΤΕΛΗ
38,Α,ΠΕΝΤΕΛΗ
39,Α,ΠΕΝΤΕΛΗ
40,Α,ΠΕΝΤΕΛΗ
41,Α,ΠΕΝΤΕΛΗ
42,Α,ΠΕΝΤΕΛΗ
43,Θ,ΠΕΝΤΕΛΗ
44,Α,ΠΕΝΤΕΛΗ
45,Θ,ΠΕΝΤΕΛΗ
46,Α,ΠΕΝΤΕΛΗ
47,Α,ΠΕΝΤΕΛΗ
48,Θ,ΠΕΝΤΕΛΗ
49,Α,ΠΕΝΤΕΛΗ
50,Θ,ΠΕΝΤΕΛΗ
51,Θ,ΠΕΝΤΕΛΗ
52,Θ,ΠΕΝΤΕΛΗ
53,Θ,ΠΕΝΤΕΛΗ
54,Θ,ΠΕΝΤΕΛΗ
55,Θ,ΠΕΝΤΕΛΗ
56,Α,ΠΕΝΤΕΛΗ
57,Α,ΠΕΝΤΕΛΗ
58,Α,ΠΕΝΤΕΛΗ
59,Θ,ΠΕΝΤΕΛΗ
60,Α,ΠΕΝΤΕΛΗ
61,Α,ΠΕΝΤΕΛΗ
62,Θ,ΠΕΝΤΕΛΗ
63,Θ,ΠΕΝΤΕΛΗ
64,Α,ΠΕΝΤΕΛΗ
65,Α,ΠΕΝΤΕΛΗ
66,Α,ΠΕΝΤΕΛΗ
67,Θ,ΠΕΝΤΕΛΗ
68,Θ,ΠΕΝΤΕΛΗ
69,Θ,ΠΕΝΤΕΛΗ
70,Θ,ΠΕΝΤΕΛΗ
71,Α,ΠΕΝΤΕΛΗ
72,Θ,ΠΕΝΤΕΛΗ
73,Θ,ΠΕΝΤΕΛΗ
74,Α,ΠΕΝΤΕΛΗ
75,Θ,ΠΕΝΤΕΛΗ
76,Θ,ΠΕΝΤΕΛΗ
77,Α,ΠΕΝΤΕΛΗ
78,Α,ΠΕΝΤΕΛΗ
79,Θ,ΠΕΝΤΕΛΗ
80,Θ,ΠΕΝΤΕΛΗ
81,Θ,ΠΕΝΤΕΛΗ
82,Α,ΠΕΝΤΕΛΗ
83,Α,ΠΕΝΤΕΛΗ
84,Θ,ΠΕΝΤΕΛΗ
85,Θ,ΠΕΝΤΕΛΗ
86,Θ,ΠΕΝΤΕΛΗ
87,Θ,ΠΕΝΤΕΛΗ
88,Θ,ΠΕΝΤΕΛΗ
89,Α,ΠΕΝΤΕΛΗ
90,Α,ΠΕΝΤΕΛΗ
91,Θ,ΠΕΝΤΕΛΗ
92,Θ,ΠΕΝΤΕΛΗ
93,Α,ΠΕΝΤΕΛΗ
94,Α,ΠΕΝΤΕΛΗ
95,Α,ΠΕΝΤΕΛΗ
96,Θ,ΠΕΝΤΕΛΗ
97,Α,ΠΕΝΤΕΛΗ
98,Α,ΠΕΝΤΕΛΗ
99,Α,ΠΕΝΤΕΛΗ
100,Θ,ΠΕΝΤΕΛΗ
