A/A,Result,Area
1,Α,ΣΟΥΝΙΟ
2,Θ,ΣΟΥΝΙΟ
3,Θ,ΣΟΥΝΙΟ
4,Θ,ΣΟΥΝΙΟ
5,Α,ΣΟΥΝΙΟ
6,Θ,ΣΟΥΝΙΟ
7,Θ,ΣΟΥΝΙΟ
8,Α,ΣΟΥΝΙΟ
9,Θ,ΣΟΥΝΙΟ
10,Α,ΣΟΥΝΙΟ
11,Α,ΣΟΥΝΙΟ
12,Α,ΣΟΥΝΙΟ
13,Α,ΣΟΥΝΙΟ
14,Α,ΣΟΥΝΙΟ
15,Α,ΣΟΥΝΙΟ
16,Α,ΣΟΥΝΙΟ
17,Θ,ΣΟΥΝΙΟ
18,Α,ΣΟΥΝΙΟ
19,Θ,ΣΟΥΝΙΟ
20,Θ,ΣΟΥΝΙΟ
21,Α,ΣΟΥΝΙΟ
22,Α,ΣΟΥΝΙΟ
23,Α,ΣΟΥΝΙΟ
24,Α,ΣΟΥΝΙΟ
25,Α,ΣΟΥΝΙΟ
26,Α,ΣΟΥΝΙΟ
27,Θ,ΣΟΥΝΙΟ
28,Α,ΣΟΥΝΙΟ
29,Α,ΣΟΥΝΙΟ
30,Θ,ΣΟΥΝΙΟ
31,Α,ΣΟΥΝΙΟ
32,Θ,ΣΟΥΝΙΟ
33,Α,ΣΟΥΝΙΟ
34,Α,ΣΟΥΝΙΟ
35,Θ,ΣΟΥΝΙΟ
36,Α,ΣΟΥΝΙΟ
37,Α,ΣΟΥΝΙΟ
38,Α,ΣΟΥΝΙΟ
39,Α,ΣΟΥΝΙΟ
40,Α,ΣΟΥΝΙΟ
41,Α,ΣΟΥΝΙΟ
42,Α,ΣΟΥΝΙΟ
43,Θ,ΣΟΥΝΙΟ
44,Α,ΣΟΥΝΙΟ
45,Θ,ΣΟΥΝΙΟ
46,Θ,ΣΟΥΝΙΟ
47,Α,ΣΟΥΝΙΟ
48,Θ,ΣΟΥΝΙΟ
49,Θ,ΣΟΥΝΙΟ
50,Θ,ΣΟΥΝΙΟ
51,Θ,ΣΟΥΝΙΟ
52,Α,ΣΟΥΝΙΟ
53,Θ,ΣΟΥΝΙΟ
54,Α,ΣΟΥΝΙΟ
55,Θ,ΣΟΥΝΙΟ
56,Θ,ΣΟΥΝΙΟ
57,Α,ΣΟΥΝΙΟ
58,Θ,ΣΟΥΝΙΟ
59,Α,ΣΟΥΝΙΟ
60,Θ,ΣΟΥΝΙΟ
61,Θ,ΣΟΥΝΙΟ
62,Α,ΣΟΥΝΙΟ
63,Α,ΣΟΥΝΙΟ
64,Α,ΣΟΥΝΙΟ
65,Θ,ΣΟΥΝΙΟ
66,Θ,ΣΟΥΝΙΟ
67,Θ,ΣΟΥΝΙΟ
68,Θ,ΣΟΥΝΙΟ
69,Θ,ΣΟΥΝΙΟ
70,Θ,ΣΟΥΝΙΟ
71,Θ,ΣΟΥΝΙΟ
72,Α,ΣΟΥΝΙΟ
73,Θ,ΣΟΥΝΙΟ
74,Θ,ΣΟΥΝΙΟ
75,Α,ΣΟΥΝΙΟ
76,Θ,ΣΟΥΝΙΟ
77,Α,ΣΟΥΝΙΟ
78,Α,ΣΟΥΝΙΟ
79,Α,ΣΟΥΝΙΟ
80,Α,ΣΟΥΝΙΟ
81,Θ,ΣΟΥΝΙΟ
82,Θ,ΣΟΥΝΙΟ
83,Α,ΣΟΥΝΙΟ
84,Α,ΣΟΥΝΙΟ
85,Θ,ΣΟΥΝΙΟ
86,Α,ΣΟΥΝΙΟ
87,Θ,ΣΟΥΝΙΟ
88,Θ,ΣΟΥΝΙΟ
89,Θ,ΣΟΥΝΙΟ
90,Θ,ΣΟΥΝΙΟ
91,Θ,ΣΟΥΝΙΟ
92,Α,ΣΟΥΝΙΟ
93,Θ,ΣΟΥΝΙΟ
94,Θ,ΣΟΥΝΙΟ
95,Θ,ΣΟΥΝΙΟ
96,Θ,ΣΟΥΝΙΟ
97,Θ,ΣΟΥΝΙΟ
98,Θ,ΣΟΥΝΙΟ
99,Α,ΣΟΥΝΙΟ
100,Α,ΣΟΥΝΙΟ
